code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,sp_abrev,especie
AL000018,AL,74.1662324,PINUS HALEPENSIS,659.02,552,800,1low,9573.41,37.01831,-2.72591,NA,4,1,0,0,3,2,1,0,2,NA,2,0,2,2,0,1,1,1,1,2,2,2,2,2,3,3,phale,P. halpensis
AL001001,AL,193.8681527,PINUS SYLVESTRIS,1871.24,1632,1982,3high,10680.27,37.23274,-2.77019,NA,0,0,0,0,1,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,2,2,3,2,psylv,P. sylvestris
AL001002,AL,114.2510858,PINUS NIGRA SSP SALZM.,1574.51,1385,1742,2medium,6952.3,37.22005,-2.77693,NA,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,2,2,2,1,pnig_sal,P. nigra
AL001003,AL,5.3859925,PINUS HALEPENSIS,859.58,844,887,1low,1522.34,37.1559,-2.74369,NA,0,1,NA,2,2,1,0,0,NA,NA,4,0,3,1,2,2,2,1,1,1,0,0,1,2,1,1,phale,P. halpensis
AL001004,AL,38.5852756,PINUS HALEPENSIS,865,825,899,1low,3012.6,37.14451,-2.75905,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,0,0,0,4,0,1,1,1,0,0,1,1,1,2,1,phale,P. halpensis
AL001005,AL,144.7639986,PINUS HALEPENSIS,1111.46,859,1315,1low,6074,37.12714,-2.77864,1,2,0,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,phale,P. halpensis
AL001006,AL,94.8816095,PINUS HALEPENSIS,1148.45,892,1367,1low,7047.49,37.12397,-2.76244,1,3,0,0,0,1,2,0,0,1,1,1,0,0,0,3,0,0,1,1,0,0,1,1,1,1,1,phale,P. halpensis
AL001007,AL,23.732071599999998,PINUS HALEPENSIS,1252.58,1046,1428,2medium,2358.71,37.1181,-2.75231,1,2,0,0,0,1,3,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,phale,P. halpensis
AL001008,AL,11.0302896,PINUS HALEPENSIS,1331.13,1282,1377,2medium,1491.9,37.12028,-2.77368,1,2,0,0,0,1,0,0,0,NA,0,1,0,0,0,1,0,1,2,1,0,0,1,1,1,3,2,phale,P. halpensis
AL001009,AL,191.8822702,PINUS HALEPENSIS,1532.91,1309,1821,2medium,8867.8,37.09912,-2.77395,1,0,0,0,0,1,0,0,0,NA,1,1,NA,0,0,1,0,1,2,1,0,0,1,1,1,1,2,phale,P. halpensis
AL001010,AL,99.0278225,PINUS HALEPENSIS,1302.1,1236,1388,2medium,7433.02,37.11065,-2.7603,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,3,phale,P. halpensis
AL001011,AL,6.4029282,PINUS HALEPENSIS,845.36,795,888,1low,1085.41,37.14921,-2.74434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,2,2,1,1,1,0,0,1,2,1,1,phale,P. halpensis
AL002001,AL,27.146284700000002,PINUS SYLVESTRIS,1848.3,1736,1928,3high,2701.02,37.23224,-2.78006,NA,0,0,0,0,1,1,3,0,0,0,0,0,1,0,1,1,1,2,1,1,0,0,2,2,2,2,psylv,P. sylvestris
AL002002,AL,33.3034293,PINUS NIGRA SSP SALZM.,1725.73,1549,1897,3high,3657.51,37.22601,-2.78292,NA,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,2,2,2,1,pnig_sal,P. nigra
AL002003,AL,513.3161276999999,PINUS HALEPENSIS,1419.13,1153,1890,2medium,17172.8,37.2118,-2.79308,NA,NA,1,1,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,0,phale,P. halpensis
AL002004,AL,23.9543476,PINUS PINASTER,1667.65,1548,1760,2medium,2556.72,37.22536,-2.78881,NA,0,0,0,1,1,1,1,3,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2,2,2,2,ppinas,P. pinaster
AL002005,AL,42.8032477,PINUS PINASTER,1494.21,1347,1661,2medium,4025.59,37.21839,-2.79446,NA,0,1,0,0,0,0,1,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,2,3,2,0,ppinas,P. pinaster
AL002006,AL,210.04738220000002,PINUS HALEPENSIS,1111.92,995,1243,1low,12097.78,37.19262,-2.79371,2,4,NA,0,NA,2,NA,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,3,1,0,phale,P. halpensis
AL002007,AL,267.1728734,PINUS NIGRA SSP AUSTR.,1491.54,1266,1799,2medium,17368.44,37.13629,-2.86806,3,0,0,0,0,2,0,0,0,1,2,3,NA,0,0,0,0,0,3,3,1,0,0,1,1,2,2,pnig_aus,P. nigra
AL002008,AL,279.0880537,PINUS NIGRA SSP AUSTR.,1650.24,1415,1840,2medium,9237.65,37.13121,-2.88625,0,0,0,0,0,3,0,0,0,1,3,2,4,0,0,1,0,0,3,3,1,0,0,1,1,2,2,pnig_aus,P. nigra
AL002009,AL,40.259799300000005,PINUS NIGRA SSP AUSTR.,1522.69,1396,1620,2medium,2874.61,37.13509,-2.8655,3,1,0,0,0,2,0,0,0,2,NA,3,4,0,0,0,0,0,3,2,0,0,0,1,0,2,4,pnig_aus,P. nigra
AL002010,AL,300.6764771,PINUS SYLVESTRIS,1648.62,1351,1834,2medium,17479.73,37.1212,-2.87363,0,0,0,0,0,1,0,0,0,1,2,3,4,0,0,0,0,0,2,4,1,0,0,1,1,2,3,psylv,P. sylvestris
AL002011,AL,45.666127100000004,PINUS HALEPENSIS,1140.62,969,1248,1low,4646.31,37.12528,-2.78964,NA,4,0,0,0,2,0,0,0,1,2,2,1,0,0,1,0,1,1,2,1,0,1,2,2,2,1,phale,P. halpensis
AL002012,AL,303.2116779,PINUS NIGRA SSP AUSTR.,1460.51,1164,1705,2medium,11209.11,37.11841,-2.84822,3,0,0,0,0,1,0,0,0,1,3,2,2,0,0,0,0,0,2,2,1,0,0,1,0,2,2,pnig_aus,P. nigra
AL002013,AL,40.571305200000005,PINUS HALEPENSIS,1258.28,1179,1324,2medium,3473.4,37.11927,-2.78237,NA,2,0,0,0,1,0,0,0,1,3,2,1,0,0,1,0,2,1,1,1,0,0,0,0,2,1,phale,P. halpensis
AL002014,AL,12.0581905,PINUS NIGRA SSP AUSTR.,1766.18,1683,1811,3high,2231.56,37.11802,-2.88035,0,0,0,0,0,3,1,0,0,1,2,3,3,0,0,0,0,0,2,4,0,0,0,1,1,2,4,pnig_aus,P. nigra
AL002015,AL,245.28089049999997,PINUS NIGRA SSP AUSTR.,1842.33,1433,2209,3high,11490.56,37.10565,-2.86788,3,0,0,0,0,1,0,0,0,NA,3,2,3,0,0,0,0,0,3,4,1,0,0,1,2,3,4,pnig_aus,P. nigra
AL002016,AL,71.8635373,PINUS SYLVESTRIS,1936.49,1803,2137,3high,4660.57,37.10578,-2.88661,0,0,0,0,0,1,0,0,0,NA,0,1,3,0,0,0,0,0,2,3,1,0,0,2,2,3,3,psylv,P. sylvestris
AL002017,AL,16.6887385,PINUS NIGRA SSP AUSTR.,1787.32,1740,1831,3high,1740.31,37.11494,-2.88155,0,0,0,0,0,3,1,0,0,NA,2,3,4,0,0,0,0,0,2,4,0,0,0,2,2,2,3,pnig_aus,P. nigra
AL002018,AL,102.5125246,PINUS NIGRA SSP AUSTR.,1263.96,1118,1397,2medium,7408.15,37.11026,-2.82803,0,1,0,0,2,3,0,0,0,2,3,2,1,0,0,0,0,0,2,2,0,0,1,1,1,1,3,pnig_aus,P. nigra
AL002019,AL,97.3014978,PINUS SYLVESTRIS,1344.9,1238,1495,2medium,5375.75,37.10975,-2.77869,0,0,0,0,1,2,1,0,0,1,2,1,1,0,0,1,0,2,3,1,0,0,1,2,2,1,2,psylv,P. sylvestris
AL002020,AL,132.4889447,PINUS NIGRA SSP AUSTR.,1380.1,1191,1507,2medium,12259.76,37.10723,-2.8046,0,1,0,0,0,3,0,0,0,1,2,3,1,0,0,0,0,0,1,3,0,0,1,1,0,2,2,pnig_aus,P. nigra
AL002021,AL,137.0432216,PINUS SYLVESTRIS,1627.6,1417,1856,2medium,5606.19,37.10099,-2.78505,0,0,0,0,1,2,1,0,0,NA,1,1,NA,0,0,1,0,0,2,2,0,0,0,0,0,1,2,psylv,P. sylvestris
AL002022,AL,317.50056839999996,PINUS NIGRA SSP AUSTR.,1581.27,1238,1984,2medium,15306.55,37.10052,-2.83698,0,1,0,0,2,3,0,0,0,NA,3,1,1,0,0,0,0,0,2,2,1,0,1,2,2,2,4,pnig_aus,P. nigra
AL002023,AL,141.9609897,PINUS NIGRA SSP AUSTR.,1643.66,1365,1879,2medium,7942.42,37.10026,-2.79865,0,1,0,0,0,3,0,0,0,NA,0,1,2,0,0,1,0,1,2,3,0,0,0,1,1,1,1,pnig_aus,P. nigra
AL002024,AL,118.79588670000001,PINUS SYLVESTRIS,1930.38,1477,2250,3high,7144.22,37.08807,-2.80719,0,0,0,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,2,4,1,0,0,1,2,2,2,psylv,P. sylvestris
AL002025,AL,24.796091200000003,PINUS NIGRA SSP AUSTR.,1718.08,1659,1784,3high,4137.57,37.115,-2.86206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0,2,3,0,0,0,1,2,2,3,pnig_aus,P. nigra
AL002026,AL,110.1102011,PINUS SYLVESTRIS,1800.87,1691,1903,3high,8082.39,37.10913,-2.87715,0,0,0,0,0,1,0,0,0,NA,0,4,2,0,0,0,0,0,2,3,1,0,0,1,2,3,4,psylv,P. sylvestris
AL005001,AL,164.386987,PINUS HALEPENSIS,1250.11,858,1465,2medium,9729.36,37.06642,-2.6791,3,1,0,0,0,1,0,0,0,1,1,1,NA,NA,0,0,0,0,0,0,0,1,0,1,0,1,0,phale,P. halpensis
AL005002,AL,47.091308000000005,PINUS HALEPENSIS,1006.65,733,1205,1low,7052.82,37.06349,-2.66968,3,1,0,0,0,1,0,0,0,1,NA,1,0,NA,0,0,0,0,0,0,0,1,0,1,0,1,0,phale,P. halpensis
AL005003,AL,160.0237055,PINUS HALEPENSIS,686.59,402,872,1low,9052.4,37.04826,-2.61026,NA,0,1,NA,0,1,0,NA,0,1,3,NA,NA,NA,0,2,2,1,0,0,0,0,0,0,0,1,3,phale,P. halpensis
AL005004,AL,43.6767558,PINUS HALEPENSIS,966.14,663,1221,1low,10225.78,37.04421,-2.66968,NA,1,0,0,NA,1,0,0,0,NA,1,1,0,NA,0,0,0,0,0,0,0,1,0,1,0,1,0,phale,P. halpensis
AL007001,AL,48.220653600000006,PINUS HALEPENSIS,886.45,745,1008,1low,6082.87,36.99235,-2.94551,NA,3,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,phale,P. halpensis
AL007002,AL,188.325179,PINUS HALEPENSIS,816.13,672,994,1low,15160.73,36.98726,-2.96665,NA,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,1,phale,P. halpensis
AL007003,AL,108.88673179999999,PINUS HALEPENSIS,996.04,866,1111,1low,12852.04,36.92854,-2.94301,NA,3,0,0,1,2,1,0,1,1,NA,0,0,NA,NA,0,0,1,2,2,2,2,2,2,2,2,1,phale,P. halpensis
AL007004,AL,58.4389046,NA,501.67,355,691,0verylow,6613.87,36.90497,-3.03425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,2,2,2,NA,2,2,0,NA,NA
AL008006,AL,27.896925500000002,PINUS PINASTER,1359.08,1295,1429,2medium,5081.44,37.31136,-2.65102,NA,4,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,2,0,3,1,ppinas,P. pinaster
AL008007,AL,140.6511268,PINUS PINASTER,1361.32,1180,1476,2medium,16600.04,37.30726,-2.63407,NA,3,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,2,ppinas,P. pinaster
AL008008,AL,115.5401489,PINUS PINASTER,1364.34,1205,1457,2medium,13278.92,37.30137,-2.61022,NA,3,0,0,0,3,0,0,1,0,3,1,0,0,0,0,1,2,0,0,0,0,0,3,0,2,3,ppinas,P. pinaster
AL008009,AL,30.8736287,PINUS PINASTER,1487.83,1172,1628,2medium,8641.47,37.29591,-2.64653,NA,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,ppinas,P. pinaster
AL008010,AL,134.38613270000002,PINUS PINASTER,1367.6,1117,1516,2medium,9232.62,37.29535,-2.59952,NA,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,ppinas,P. pinaster
AL008011,AL,79.13011879999999,PINUS PINASTER,1424.42,1237,1625,2medium,5290.84,37.2878,-2.62024,NA,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,3,ppinas,P. pinaster
AL008012,AL,49.2905777,PINUS PINASTER,1399.95,1233,1544,2medium,6538.5,37.28534,-2.62972,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,ppinas,P. pinaster
AL008013,AL,100.4825689,PINUS NIGRA SSP SALZM.,1568.73,1379,1676,2medium,7816.71,37.28517,-2.65557,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,pnig_sal,P. nigra
AL008014,AL,113.8024764,PINUS NIGRA SSP SALZM.,1636.21,1448,1753,2medium,6595.85,37.28165,-2.61738,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,3,3,3,pnig_sal,P. nigra
AL008015,AL,158.7039272,PINUS NIGRA SSP SALZM.,1540.92,1368,1693,2medium,8491.65,37.28086,-2.64562,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,pnig_sal,P. nigra
AL008016,AL,144.726232,PINUS NIGRA SSP SALZM.,1708.85,1595,1872,3high,7268.41,37.27341,-2.65905,NA,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,0,1,2,pnig_sal,P. nigra
AL008017,AL,340.55393849999996,PINUS SYLVESTRIS,1715.79,1515,1902,3high,10206.25,37.27069,-2.61551,NA,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,4,2,psylv,P. sylvestris
AL008018,AL,96.0320352,PINUS NIGRA SSP SALZM.,1540.96,1301,1752,2medium,4545.48,37.27708,-2.62794,NA,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,2,0,0,3,pnig_sal,P. nigra
AL008019,AL,257.6150748,PINUS SYLVESTRIS,1721.2,1385,1926,3high,9856.69,37.26262,-2.63585,NA,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,2,5,1,3,2,psylv,P. sylvestris
AL008020,AL,79.1954442,PINUS SYLVESTRIS,1626.23,1465,1758,2medium,9523.89,37.26925,-2.64737,NA,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,psylv,P. sylvestris
AL008021,AL,178.54759750000002,PINUS PINASTER,1634.69,1410,1770,2medium,9907.77,37.26059,-2.60967,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,ppinas,P. pinaster
AL008022,AL,241.15334,PINUS SYLVESTRIS,1784.13,1582,1967,3high,10496.71,37.25643,-2.6583,NA,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,1,4,3,psylv,P. sylvestris
AL008023,AL,373.6549921,PINUS NIGRA SSP SALZM.,1836.49,1637,1956,3high,12734.5,37.24769,-2.62841,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,2,2,3,5,2,3,3,pnig_sal,P. nigra
AL008024,AL,263.6416828,PINUS SYLVESTRIS,1885.63,1631,1966,3high,12718.88,37.24475,-2.64717,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,2,3,3,psylv,P. sylvestris
AL008025,AL,123.3323012,PINUS SYLVESTRIS,1862.54,1617,1963,3high,8159.74,37.24329,-2.65883,NA,1,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,2,2,2,2,3,5,2,5,2,psylv,P. sylvestris
AL008026,AL,7.6031618000000005,PINUS SYLVESTRIS,1917.42,1909,1925,3high,1099.81,37.23191,-2.65701,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,2,0,0,0,1,5,2,4,1,psylv,P. sylvestris
AL010001,AL,194.2094511,PINUS HALEPENSIS,350.55,233,439,0verylow,7461.05,36.98425,-2.56568,NA,4,4,3,0,1,0,0,3,0,0,0,0,0,0,1,1,1,2,1,2,0,0,2,1,0,0,phale,P. halpensis
AL011001,AL,64.3133407,PINUS HALEPENSIS,699.97,530,781,1low,5437.18,36.95273,-2.58188,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,2,1,2,2,2,3,0,2,2,phale,P. halpensis
AL011002,AL,531.6695005,PINUS HALEPENSIS,667.47,339,971,1low,24160.2,36.93589,-2.57586,NA,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,1,1,0,1,0,1,1,0,1,1,phale,P. halpensis
AL011003,AL,38.6193914,PINUS HALEPENSIS,867.66,758,956,1low,3034.81,36.9157,-2.58573,NA,1,3,1,1,2,2,1,0,2,2,1,0,0,0,1,1,1,1,1,2,0,0,1,0,2,2,phale,P. halpensis
AL011004,AL,115.85756780000001,PINUS HALEPENSIS,1017.73,880,1187,1low,6838.79,36.91457,-2.60326,NA,0,3,0,1,2,2,0,0,1,1,0,0,0,0,3,0,2,1,1,2,1,0,2,0,1,2,phale,P. halpensis
AL012001,AL,31.1306994,PINUS HALEPENSIS,777.75,711,984,1low,4115.98,36.94231,-2.60355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,1,2,1,0,1,1,1,2,0,2,2,phale,P. halpensis
AL012002,AL,60.9268217,PINUS HALEPENSIS,1042.03,868,1187,1low,3042.25,36.93671,-2.61367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,1,1,1,1,2,0,1,2,0,2,2,phale,P. halpensis
AL014001,AL,201.6933747,PINUS HALEPENSIS,1317.46,1011,1614,2medium,8468.18,36.95078,-2.78612,NA,1,0,NA,1,5,1,3,1,1,3,0,1,1,1,2,1,1,2,3,1,2,0,2,2,2,2,phale,P. halpensis
AL019012,AL,212.1824656,PINUS NIGRA SSP SALZM.,1754.44,1593,1893,3high,6927.51,37.26678,-2.52453,NA,0,0,0,0,2,0,0,0,0,1,0,0,NA,0,0,0,1,1,2,1,1,2,3,5,4,3,pnig_sal,P. nigra
AL019017,AL,101.2664493,PINUS NIGRA SSP SALZM.,1699.76,1596,1814,2medium,4683.11,37.26093,-2.54613,NA,0,0,0,1,2,0,0,0,0,1,0,0,NA,0,1,1,2,1,2,1,1,2,2,5,5,4,pnig_sal,P. nigra
AL019018,AL,125.36546329999999,PINUS SYLVESTRIS,1923.99,1789,2045,3high,4951.34,37.25279,-2.52184,NA,0,1,0,1,4,0,0,1,0,2,0,0,NA,0,1,1,1,2,3,1,1,2,4,1,3,3,psylv,P. sylvestris
AL019019,AL,382.9456012,PINUS SYLVESTRIS,1756.35,1522,1939,3high,11944.67,37.24815,-2.50048,NA,0,2,0,0,3,0,0,0,1,2,0,1,NA,0,1,1,1,2,1,0,1,1,3,3,2,2,psylv,P. sylvestris
AL019020,AL,80.9109888,PINUS NIGRA SSP SALZM.,1953.53,1853,2049,3high,5358.96,37.25244,-2.51452,NA,0,1,0,1,2,0,0,0,0,1,1,0,NA,0,1,1,1,2,3,1,1,1,4,1,4,4,pnig_sal,P. nigra
AL019021,AL,175.83016329999998,PINUS SYLVESTRIS,1703.66,1502,1828,3high,7485.2,37.25157,-2.53405,NA,0,1,0,0,3,0,0,0,0,1,0,0,NA,0,1,1,1,2,2,1,1,2,4,1,3,3,psylv,P. sylvestris
AL019022,AL,59.803915599999996,PINUS NIGRA SSP SALZM.,1667.34,1483,1780,2medium,3523.85,37.25537,-2.55385,NA,1,1,0,0,4,0,0,0,0,1,0,0,NA,0,1,1,2,2,2,1,1,2,2,3,3,3,pnig_sal,P. nigra
AL019030,AL,1040.0892552999999,PINUS SYLVESTRIS,1904.19,1458,2162,3high,16998.66,37.2332,-2.53133,NA,1,1,0,0,2,0,0,0,0,1,0,0,NA,0,1,1,1,1,1,0,0,1,3,2,3,3,psylv,P. sylvestris
AL019033,AL,263.94738709999996,PINUS SYLVESTRIS,1774.85,1602,1927,3high,7892.59,37.235,-2.50294,NA,0,0,1,0,2,1,0,0,1,2,0,1,NA,0,1,1,1,1,1,0,0,1,3,3,2,3,psylv,P. sylvestris
AL019036,AL,19.278366899999998,PINUS NIGRA SSP SALZM.,1647.19,1514,1738,2medium,2571.71,37.23249,-2.48633,NA,0,1,1,1,2,0,0,0,0,1,0,0,NA,0,1,1,1,1,1,0,0,0,3,2,3,3,pnig_sal,P. nigra
AL019037,AL,270.211363,PINUS SYLVESTRIS,1794.1,1493,1984,3high,11770.64,37.2202,-2.48288,NA,0,1,0,0,1,0,0,0,0,2,0,0,NA,0,1,1,1,1,1,0,1,1,2,2,2,2,psylv,P. sylvestris
AL019038,AL,123.8536089,PINUS NIGRA SSP SALZM.,1772.51,1619,1905,3high,9417.59,37.22437,-2.50119,NA,1,1,0,0,2,0,0,0,0,1,0,0,NA,0,1,1,1,1,1,0,1,1,3,4,2,3,pnig_sal,P. nigra
AL019041,AL,220.5658511,PINUS SYLVESTRIS,1852.9,1615,2001,3high,6801.99,37.215089999999996,-2.50459,NA,1,0,0,0,2,0,0,0,0,1,0,1,NA,0,1,1,1,1,1,0,0,1,3,2,2,3,psylv,P. sylvestris
AL019042,AL,37.7046115,PINUS SYLVESTRIS,1959.82,1910,2008,3high,4940.36,37.21499,-2.47543,NA,0,1,0,0,1,0,0,1,0,2,0,1,NA,1,1,1,1,1,1,0,1,1,4,5,3,2,psylv,P. sylvestris
AL020001,AL,251.53331490000002,PINUS SYLVESTRIS,2043.65,1847,2196,3high,12783.12,37.09275,-3.01678,NA,0,0,0,0,0,1,0,0,NA,2,2,2,1,0,1,0,0,2,2,0,1,1,1,0,1,1,psylv,P. sylvestris
AL020002,AL,294.6546057,PINUS NIGRA SSP AUSTR.,2079.22,1867,2288,3high,11968.91,37.0681,-2.98175,NA,1,0,0,0,3,1,0,0,NA,1,2,3,2,1,1,0,0,1,3,2,2,1,1,1,2,2,pnig_aus,P. nigra
AL020003,AL,331.87119959999995,PINUS NIGRA SSP AUSTR.,2020.7,1763,2320,3high,12906.11,37.07434,-3.00211,NA,1,0,0,0,1,2,0,0,NA,3,2,2,1,0,1,0,0,1,3,3,2,1,1,0,2,2,pnig_aus,P. nigra
AL020004,AL,145.4765099,PINUS NIGRA SSP AUSTR.,1874,1732,2002,3high,9465.37,37.0519,-2.9817,NA,1,0,0,1,3,2,0,0,NA,2,2,3,2,1,1,0,0,2,4,4,2,1,1,1,1,1,pnig_aus,P. nigra
AL020005,AL,21.2039218,PINUS NIGRA SSP AUSTR.,1624.7,1510,1736,2medium,2428.92,37.04124,-2.98637,NA,0,0,0,0,1,1,0,0,NA,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,1,1,pnig_aus,P. nigra
AL020006,AL,40.1344755,PINUS NIGRA SSP AUSTR.,1700.58,1642,1761,3high,3765.08,37.03845,-2.97763,NA,0,0,0,0,1,1,0,0,NA,1,1,1,1,0,0,0,0,1,2,1,1,0,1,0,0,1,pnig_aus,P. nigra
AL020007,AL,10.431113999999999,PINUS NIGRA SSP AUSTR.,1653.96,1622,1690,2medium,1557.69,37.03871,-2.98233,1,0,0,0,1,1,1,0,0,NA,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,1,1,pnig_aus,P. nigra
AL020008,AL,28.660914899999998,PINUS NIGRA SSP AUSTR.,1606.84,1505,1695,2medium,4397.16,37.03546,-2.9779,NA,0,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,NA,0,1,2,1,1,0,0,0,0,1,pnig_aus,P. nigra
AL020009,AL,124.82917139999999,PINUS NIGRA SSP AUSTR.,1430.01,1283,1641,2medium,6575.88,37.02245,-2.97627,1,0,0,0,1,1,1,0,0,0,0,0,0,NA,0,0,NA,0,1,1,0,1,0,0,0,0,1,pnig_aus,P. nigra
